input,context,expected_output
U·nit·ed States AND United States of America,summarize the following text: ,U·nit·ed States  United States of America
"Debate is a means of settling differences, AND in the following discussion.",summarize the following text: ,Debate is a means of settling differences AND
The literature on organizational and AND financial and political capacity.,summarize the following text: ,organizational political capacity
"Because organizations matter. AND and use your time well, can do both.",summarize the following text: ,organizations matter
Should—1.  Used to express obligation or duty:  You should send her a note.,summarize the following text: ,Should Used to express obligation or duty
"Legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,To make lawful by judicial or legislative sanction
"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,To make lawful by judicial or legislative sanction
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"Economic diplomacy can be the basis for hard, soft and smart power.",summarize the following text: ,"Economic diplomacy can be the basis for hard, soft and smart power."
ro·bot·ic¶ rōˈbädik/¶ adjective¶ of or relating to robots.,summarize the following text: ,ro·bot·ic of or relating to robots
should. The will to do something or have something take place: I shall go out if I feel like it.,summarize the following text: ,The will to do something
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"Definition
In general, recommended but not mandatory.",summarize the following text: ,"In general, recommended but not mandatory"
should. The will to do something or have something take place: I shall go out if I feel like it.,summarize the following text: ,The will to do something
"The term ""United States"" means the 50 States of the United States of America.",summarize the following text: ,"The term ""United States"" means the 50 States"
Make (something that was previously illegal) permissible by law:,summarize the following text: ,Make (something that was previously illegal) permissible by law:
"To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"To make enforceable, justifiable, or lawful by judicial or legislative sanction"
Make (something that was previously illegal) permissible by law:,summarize the following text: ,Make (something that was previously illegal) permissible by law:
"Definition
In general, recommended but not mandatory.",summarize the following text: ,"In general, recommended but not mandatory"
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"Definition
In general, recommended but not mandatory.",summarize the following text: ,"In general, recommended but not mandatory"
"re⋅solved [ri-zolvd]
–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"Definition
In general, recommended but not mandatory.",summarize the following text: ,"In general, recommended but not mandatory"
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"–adjective
firm in purpose or intent; determined.",summarize the following text: ,firm in purpose or intent; determined
"AND
material that is recyclable, cheaper than glass and safe for the workers.",summarize the following text: ,"AND
material that is recyclable, cheaper than glass and safe for the workers."
"AND
and flax fiber or seed for animal feed, animal bedding and paper.",summarize the following text: ,AND
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"Part B — Authority to Control; Standards and Schedules
§812. Schedules of controlled substances",summarize the following text: ,§812. Schedules of controlled substances
"The government consists of three branches: the legislative, the executive, or the judicial,",summarize the following text: ,"The government consists of three branches: the legislative, the executive, or the judicial,"
Legalize: 1. To make lawful or legal. 2.To confirm or validate (something previously unlawful),summarize the following text: ,Legalize To validate something previously unlawful
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
Resolved – v.  A formal resolution made by a deliberative body.,summarize the following text: ,Resolved A formal resolution made by a deliberative body.
Should—1.  Used to express obligation or duty:  You should send her a note.,summarize the following text: ,Should Used to express obligation or duty
1. There are many …essential for conservation.¶,summarize the following text: ,essential for conservation
Protected ocean areas… help offset environmental impacts.,summarize the following text: ,Protected ocean areas… help offset environmental impacts.
It has long been understood …  nail into a species’ coffin.,summarize the following text: ,nail into a species’ coffin.
Three aspects of fishing…  that are otherwise unattainables.,summarize the following text: ,Three aspects of fishing…
The United States has no … but it also will remain in decline.,summarize the following text: ,The United States has no … will remain in decline.
Launching a broad campaign to address … ocean around the U.S. and the world.”,summarize the following text: ,ocean around the U.S. and the world
That action would create … to conserve our oceans effectively.,summarize the following text: ,to conserve our oceans effectively
Dramatic events such as … It is indifference to this emerging crisis.,summarize the following text: ,It is indifference to this emerging crisis
"Monica Medina, NOAA’s … on his priority list,” he said.",summarize the following text: ,"on his priority list,” he said."
"Nationwide, study participants … clarity for a national system of MPAs.",summarize the following text: ,"Nationwide,  participants … clarity for a national system of MPAs."
Levels of carbon dioxide …resilient to climate change.,summarize the following text: ,Levels of carbon dioxide …resilient to climate change.
